"","Gene","FDR_no_PPI","FDR_PPI","w1"
"1","A1BG",0.879730263157895,0.370122287968442,2.23606797749979
"2","AAK1",0.913510204081633,0.682117973856209,3.3166247903554
"3","AAR2",0.880085245901639,0.260307751937984,1.73205080756888
"4","ABCC9",0.972134309357097,0.808147254901961,1.4142135623731
"5","ABCD1",0.97215203562341,0.799553984839172,1.73205080756888
"6","ABCD3",0.913683257918552,0.672676767676768,1.73205080756888
"7","ABCE1",0.669623762376238,0,7.41619848709566
"8","ABI1",0.587679487179487,0.138774134790528,3.74165738677394
"9","ABL1",0.969730235783634,0.762052349646944,5.29150262212918
"10","ACAA1",0.963018932874355,0.76906591070163,2.64575131106459
"11","ACAN",0.96975051975052,0.781649698593436,4.47213595499958
"12","ACOT8",0.949067901234568,0.64181469176818,2.23606797749979
"13","ACOX1",0.958718871595331,0.762224330900243,2.44948974278318
"14","ACTB",0.0098,0.000640547263681592,7.14142842854285
"15","ACTC1",0.966176424668228,0.744129454926625,3
"16","ACTG1",0.85961328125,0.221701797385621,3.87298334620742
"17","ACTL6A",0.96304815133276,0.744327834511652,4.89897948556636
"18","ACTL6B",0.972169739351557,0.79308883248731,3.46410161513775
"19","ACTN1",0.972187420584498,0.799676904176904,2.64575131106459
"20","ACTN2",0.969770775623269,0.78703635967777,4.47213595499958
"21","ACTR10",0.958755102040816,0.762396061269146,3.46410161513775
"22","ACTR1A",0.963077319587629,0.754238993710692,4.12310562561766
"23","ACTR1B",0.958791262135922,0.793219615303319,3.87298334620742
"24","ACTR2",0.966201248049922,0.736993263271355,5.65685424949238
"25","ACTR3",0.96310643776824,0.74452590266876,4
"26","ACVR1",0.972205079365079,0.78179495760821,3.3166247903554
"27","ACVR1B",0.969791003460208,0.793350232361639,3.3166247903554
"28","ACVR1C",0.963135506003431,0.754422322775264,3.16227766016838
"29","ACVR2A",0.958827352085354,0.769228045325779,4.79583152331272
"30","ACVR2B",0.958863372093023,0.77522367816092,5
"31","ACVRL1",0.969811203319502,0.769389950460014,3.60555127546399
"32","ADAM10",0.963164524421594,0.762567541302235,3.16227766016838
"33","ADAM17",0.966226032735775,0.754605375533785,2.82842712474619
"34","ADAMTS1",0.966250778816199,0.748614929214929,1
"35","ADAMTS10",0.972222715736041,0.799799672600778,1
"36","ADAMTS2",0.969831375259157,0.799922290388548,2.23606797749979
"37","ADAMTS3",0.969851519337017,0.787174717145344,1
"38","ADAMTS4",0.949123304562269,0.737202746365105,1
"39","ADAMTS5",0.953741150442478,0.781940022296544,1
"40","ADAMTS6",0.966275486381323,0.793480683977201,0
"41","ADAMTS8",0.963193493150685,0.769551626591231,1
"42","ADAMTS9",0.972240329740013,0.80004475781729,1
"43","ADNP",0.949178571428571,0.690740387670798,1
"44","ADRBK1",0.935211726384365,0.702428047662695,2.23606797749979
"45","ADSL",0.972257921419518,0.769713074204947,1
"46","ADSS",0.953786740331492,0.673000672721157,2.23606797749979
"47","ADSSL1",0.966300155520995,0.731432149738508,2.23606797749979
"48","AFP",0.93530406504065,0.702695665445665,2.23606797749979
"49","AGL",0.972275490816973,0.808260043111895,2.44948974278318
"50","AGO2",0.518796875,0.0845039215686274,2
"51","AGRN",0.972293037974683,0.808372698785742,3.16227766016838
"52","AHI1",0.972310562934851,0.762738771546492,4.35889894354067
"53","AHSG",0.81029347826087,0.371333989501312,2.23606797749979
"54","AKT1",0.958899322362052,0.250143867924528,9.05538513813742
"55","AKT2",0.963222412318221,0.691029523809524,4.79583152331272
"56","AKT3",0.943506258692629,0.691318109736759,3.87298334620742
"57","ALMS1",0.969871635610766,0.800167075163399,1
"58","ALYREF",0.901158311345646,0.000335897435897436,6.70820393249937
"59","AMD1",0.860108949416342,0.691606147021546,1
"60","AMPD1",0.97232806573957,0.782084893048128,2.23606797749979
"61","AMPH",0.953832229580574,0.682423441070846,5.56776436283002
"62","AMT",0.539852941176471,0.144919602529359,2.82842712474619
"63","ANKRD11",0.963251282051282,0.787312894107415,0
"64","ANKS6",0.963280102476516,0.775377440845394,0
"65","AP1B1",0.935396103896104,0.673323924731183,4.24264068711928
"66","AP1G1",0.953877618522602,0.744723660130719,3
"67","AP1G2",0.943575,0.682728310502283,2
"68","AP1M1",0.969891724137931,0.691893637226971,2.82842712474619
"69","AP1M2",0.963308873720137,0.719822988505747,2.82842712474619
"70","AP1S1",0.935487844408428,0.642202802359882,2.44948974278318
"71","AP1S2",0.949233702337023,0.523828148148148,2.44948974278318
"72","AP1S3",0.966324786324786,0.564781531531532,2.23606797749979
"73","AP2A1",0.92562786259542,0.692180581910183,4.89897948556636
"74","AP2A2",0.949288697788698,0.72006029285099,4.69041575982343
"75","AP2B1",0.966349378881987,0.710249182277728,5.65685424949238
"76","AP2M1",0.93557928802589,0.673646525679758,4.89897948556636
"77","AP2S1",0.880437908496732,0.673968477531858,4
"78","AP4E1",0.935670436187399,0.662655902777778,1.4142135623731
"79","APH1A",0.78423125,0.328709473684211,2.23606797749979
"80","APH1B",0.901389473684211,0.549284780578898,2.23606797749979
"81","APLN",0.832654028436019,0.299931135531136,1
"82","APOB",0.969911784975879,0.800289242702592,2.82842712474619
"83","APOE",0.943643550624133,0.754788152610442,2.44948974278318
"84","APRT",0.953922907488987,0.72029718875502,1.73205080756888
"85","AQR",0.972345546430827,0.0167941176470588,6.70820393249937
"86","AR",0.972363005050505,0.808485222156978,4.79583152331272
"87","ARAF",0.969931818181818,0.800411260709914,3.16227766016838
"88","ARF1",0.935761290322581,0.674289782244556,2.64575131106459
"89","ARF4",0.913855530474041,0.503689335394127,2.44948974278318
"90","ARFGAP1",0.943711911357341,0.565356275303644,2.23606797749979
"91","ARHGAP31",0.969951823812801,0.720533677271424,1
"92","ARHGAP39",0.969971801925722,0.782229570251614,1.4142135623731
"93","ARHGEF7",0.96999175257732,0.74880658436214,3.16227766016838
"94","ARID1A",0.966373933281614,0.75497065462754,4.24264068711928
"95","ARID1B",0.554943661971831,0.155168449197861,3.60555127546399
"96","ARID2",0.953968096809681,0.769874293785311,3.74165738677394
"97","ARL13B",0.943780082987552,0.642590055248619,1.4142135623731
"98","ARL3",0.914027027027027,0.603527436527436,1.4142135623731
"99","ARL6",0.943848066298343,0.618650137741047,2.64575131106459
"100","ARMC4",0.972380441640379,0.782374054294615,0
"101","ARNT",0.966398449612403,0.720769759450172,3
"102","ARPC1A",0.96642292796282,0.710502970885324,3.60555127546399
"103","ARPC1B",0.925752380952381,0.593257250945776,3.16227766016838
"104","ARPC2",0.954013186813187,0.663,4.35889894354067
"105","ARPC3",0.914197752808989,0.372540929927963,4.12310562561766
"106","ARPC4",0.914367713004484,0.406690785405071,3.60555127546399
"107","ARPC5",0.943915862068965,0.348779591836735,3.74165738677394
"108","ARRB1",0.954058177826564,0.642976453274467,4.12310562561766
"109","ARRB2",0.925876425855513,0.514686304128902,4
"110","ASH2L",0.954103070175438,0.737411891310196,3.87298334620742
"111","ASXL1",0.501803278688525,0.118095505617978,2.82842712474619
"112","ATF2",0.966447368421053,0.710756307509647,4
"113","ATF3",0.860600775193798,0.593758606213266,1.73205080756888
"114","ATIC",0.616176470588235,0.169511811023622,4.47213595499958
"115","ATM",0.972397856242118,0.800533129459735,4.89897948556636
"116","ATR",0.97241524889729,0.800654849225754,3
"117","AURKB",0.861088803088803,0.524517258382643,5.29150262212918
"118","AXIN1",0.970011675824176,0.737620698924731,4.79583152331272
"119","B3GALT6",0.861573076923077,0.504438271604938,1.4142135623731
"120","B3GAT3",0.949343558282209,0.711009193357058,1
"121","B4GALT7",0.811237837837838,0.594258700209644,1
"122","B9D1",0.935851851851852,0.594757537688442,4.12310562561766
"123","B9D2",0.926,0.604003680981595,4.12310562561766
"124","BAD",0.745746268656716,0.330086134453782,2.44948974278318
"125","BAMBI",0.94398347107438,0.395732829237555,2.82842712474619
"126","BAP1",0.958935203094778,0.353931848852901,3.46410161513775
"127","BAZ1B",0.972432619647355,0.755152882205514,2.44948974278318
"128","BBS1",0.966471771075019,0.808597613458529,3.74165738677394
"129","BBS10",0.972449968533669,0.71126162962963,4.58257569495584
"130","BBS12",0.958971014492754,0.711513617525163,3.60555127546399
"131","BBS2",0.972467295597484,0.800776420281002,3.74165738677394
"132","BBS4",0.963337595907928,0.692466982622433,3.74165738677394
"133","BBS5",0.966496136012365,0.748997943973272,3.46410161513775
"134","BBS7",0.970031571722718,0.770035285815102,3.87298334620742
"135","BBS9",0.963366269165247,0.755334835962935,3.46410161513775
"136","BCAR1",0.914536912751678,0.565929469901168,4.58257569495584
"137","BCAS2",0.914705357142857,0,7.41619848709566
"138","BCL2L11",0.880788273615635,0.457764805414552,3
"139","BCL6",0.944050894085282,0.630597714285714,2
"140","BCL7C",0.713872881355932,0.505184899845917,1.4142135623731
"141","BCOR",0.963394893617021,0.744921107628004,1.73205080756888
"142","BICC1",0.949398284313725,0.749189008731382,0
"143","BIN1",0.914873051224944,0.711765158237208,4.12310562561766
"144","BIRC2",0.954147864184009,0.683032583903552,4.58257569495584
"145","BIRC3",0.944118131868132,0.692752840909091,4.24264068711928
"146","BLK",0.959006756756757,0.737829170024174,1.4142135623731
"147","BLNK",0.926123106060606,0.663343381843382,3.60555127546399
"148","BMP1",0.966520463320463,0.793610970464135,2.82842712474619
"149","BMP10",0.963423469387755,0.726768907563025,2
